site_code,ws_area_ha,lat,long
02336240,7148.4000000000005,33.8030833,-84.3406944
02336300,22481.2,33.82030556,-84.40763889
02336313,701.89,33.82163889,-84.438638889999993
02336340,4610.2,33.89775,-84.34525
02336360,6889.4000000000005,33.86916667,-84.37888889
02336410,9764.300000000001,33.8382222,-84.4392778
02336526,3470.6,33.7944722,-84.4741944
02336728,8780.1,33.74352778,-84.5681667
02337170,533540,33.65666667,-84.6736111
02337410,17223.5,33.65380556,-84.8210278
02343805,2126390,31.24908333,-85.1066111
02344630,17974.600000000002,33.35727778,-84.5826111
02344673,4765.5999999999995,33.38316667,-84.5727222
02356000,1960630,30.91030556,-84.5805
02357150,147889,30.90407668,-84.7490864
02388975,25200.7,34.4090833,-84.0198056
02389150,33929,34.35805556,-84.1133333
02413210,63455,33.49269444,-85.2793056
12413360,898.73,47.44027778,-116.1752778
12413370,7303.8,47.47666667,-116.2216667
12413445,18958.8,47.5081222,-116.2418
13093383,5912970,42.6518222,-114.6287528
13093384,5916855,42.6535833,-114.6347972
13207500,14788.9,43.73194444,-116.3041667
13213000,1011654,43.78166667,-116.9727778
13213100,15203300,43.8761111,-116.9825
13311000,4998.7,44.9057222,-115.3295
03336890,10541.300000000001,40.16416667,-88.0275
03338780,67858,40.26531416,-87.6427989
03339000,334110,40.10087009,-87.5972419
03343820,7174.3,39.465,-88.2302778
03346500,604247,38.7236111,-87.6644444
03381495,799792,38.0922222,-88.1561111
03612600,52577000,37.17921867,-89.058404
05420400,22170400,41.8944725,-90.156793
05446500,2473191,41.5561111,-90.1852778
05447500,259777,41.48892309,-90.1576186
05537980,389018,41.53638889,-88.0825
05543010,2127685,41.2997222,-88.6141667
05553700,2863504,41.3247564,-88.9839693
05554300,17482.5,40.72277778,-88.53
05557500,25641,41.3347222,-89.3819444
05567500,198653,40.62364814,-89.2417516
05575550,3571.6099999999997,39.54638889,-89.435
05576100,33307.4,39.71553889,-89.7024444
05576195,23421.370000000003,39.659075,-89.6589361
05579610,1890.7,40.46777778,-88.86388889
05579620,984.1999999999999,40.47277778,-88.8797222
05579624,1225.0700000000002,40.4628611,-88.8771667
05579630,3833.2000000000003,40.4583333,-88.8775
05586300,6959330,39.63277778,-90.6077778
05595000,1343951,38.3197222,-89.8883333
05599490,559181,37.7583333,-89.3277778
03343805,2331,39.46527778,-88.33638889
05536995,191401,41.6408333,-88.0594444
05538010,390054,41.505,-88.0997222
05539670,443149,41.41444444,-88.2144444
05549500,323750,42.3100222,-88.2514745
05550001,370111,42.16194444,-88.29388889
05551580,467236,41.64277778,-88.4433333
05558300,3507896,41.1072222,-89.3561111
05578100,28912.17,40.22777778,-88.6605556
05578250,27687.100000000002,40.23527778,-88.8097222
03275500,31339,39.80671459,-84.907183
03276000,98420,39.43393969,-85.0032932
03340900,57498,39.71116667,-87.0712778
03353415,878.01,39.88577778,-86.3554444
03353420,1217.3,39.8725833,-86.3615278
03374100,2927995,38.4897695,-87.55002269
03378500,7571606,38.130879,-87.941419
04182867,498834,41.08494444,-85.1223333
05515500,140378,41.38963889,-86.7061667
05517500,350168,41.2200392,-86.968356
05518000,460761,41.1828134,-87.3403096
05524500,116291,40.87059306,-87.3066912
03303280,25123000,37.89950088,-86.70554179
03353200,27454,39.94642897,-86.2602702
04093176,46.62,41.56610556,-87.3558333
04183038,3201.24,41.1830833,-84.8696944
05412500,400155,42.7399884,-91.261799
05418110,31598,42.4703333,-91.1245556
05418400,130795,42.1643333,-90.7293333
05418720,484071,42.1638611,-90.3350833
05420500,22170400,41.78058635,-90.252073
05451210,58016,42.3150833,-93.1520556
05455100,52059,41.60640518,-91.61572419
05464420,1642578,42.06916346,-91.7851803
05464475,4325.3,41.98941597,-91.7595985
05464500,1686090,41.97194549,-91.667123900000007
05465500,3237500,41.1780861,-91.1820939
05480603,7252,42.41088889,-94.1413056
05480986,2025.38,42.49325,-93.7668056
05481000,218596,42.43247506,-93.8057762
05482000,1617455,41.61248906,-93.6210513
05482300,181300,42.35475,-94.9903333
05482500,419321,41.98803907,-94.3769127
05483600,113960,41.687209,-94.3710773
05484000,257446,41.5894324,-94.1513463
05484500,891219,41.5338779,-93.9499503
06603750,4325.3,43.45869444,-95.3435833
06604440,135457,43.21277778,-95.2391667
06808500,343434,40.8730547,-95.5802746
06817000,197358,40.74327778,-95.0141944
05422405,22895600,41.57488889,-90.4043611
05422410,22895600,41.5738333,-90.4056667
05451080,3108,42.5436111,-93.5894444
05474500,30821000,40.39365535,-91.374318
05490500,3635842,40.72780589,-91.959617
06601200,81895800,42.0072101,-96.241688
06610505,83615560,41.18916667,-95.8625
06889110,2400.93,39.6095472,-95.9760556
06892350,15476804,38.9833375,-94.9646893
06892513,15047.9,39.02916667,-94.8172222
07143672,196581,38.02853056,-97.5405417
07144100,320901,37.88306739,-97.4244864
07144780,184667,37.8621972,-98.0137806
06856600,6356378,39.3555515,-97.1275203
06887000,2496760,39.2372186,-96.5713918
06887500,14317520,39.19833014,-96.3055532
06888990,14681674,39.07194435,-95.7163715
06889160,12768.699999999999,39.4631449,-95.9505944
06892495,15125.6,38.97805556,-94.9227778
06892518,15536115,39.0461111,-94.7894444
06893100,17042.2,38.8422222,-94.6122222
06893300,6889.4000000000005,38.9405621,-94.6713469
06893350,5309.5,38.9061111,-94.64
06893390,16620.03,38.9383333,-94.6077778
07137500,6581190,38.0275129,-102.0115706
07179750,196063,38.42862475,-96.1583287
07182250,450660,38.3975139,-96.356112
07182390,713027,38.3680712,-96.0002687
07182510,787878,38.19446678,-95.735264
07183000,964257,37.92225778,-95.4277596
07183500,1270395,37.34005866,-95.1099687
385446094430700,3677.7999999999997,38.91277778,-94.7186111
385520094420000,4092.2000000000003,38.9272222,-94.6969444
385608094380300,9479.4,38.93555556,-94.6341667
