site_code,start_date,parm_cd
02336240,2022-05-25T18:15:00Z,00095
02336300,2022-05-25T19:00:00Z,00095
02336313,2022-05-25T18:30:00Z,00095
02336340,2022-05-25T18:30:00Z,00095
02336360,2022-05-25T18:15:00Z,00095
02336410,2022-05-25T18:15:00Z,00095
02336526,2022-05-25T18:15:00Z,00095
02336728,2022-05-25T18:15:00Z,00095
02337170,2022-05-25T18:45:00Z,00095
02337410,2022-05-25T18:15:00Z,00095
02343805,2022-05-25T18:45:00Z,00095
02344630,2022-05-25T19:00:00Z,00095
02344673,2022-05-24T00:30:00Z,00095
02356000,2022-05-25T18:45:00Z,00095
02357150,2022-05-25T18:30:00Z,00095
02388975,2022-05-25T18:45:00Z,00095
02389150,2022-05-25T19:00:00Z,00095
02413210,2022-05-25T19:00:00Z,00095
12413360,2013-10-30T06:45:00Z,00095
12413370,2021-10-27T17:30:00Z,00095
12413445,2014-11-17T08:00:00Z,00095
13093383,2022-05-25T18:30:00Z,00095
13093384,2021-01-01T03:30:00Z,00095
13207500,2012-07-10T05:45:00Z,00095
13213000,2018-10-17T14:15:00Z,00095
13213100,2010-10-19T06:45:00Z,00095
13311000,2022-05-25T19:00:00Z,00095
03336890,2022-05-25T18:45:00Z,99133
03338780,2022-05-25T18:15:00Z,99133
03339000,2022-05-25T18:45:00Z,99133
03343820,2016-10-15T05:45:00Z,99133
03346500,2022-05-25T18:00:00Z,99133
03381495,2022-05-25T18:00:00Z,99133
03612600,2021-02-22T21:30:00Z,99133
05420400,2022-05-25T18:15:00Z,99133
05446500,2022-05-25T18:00:00Z,99133
05447500,2022-05-25T18:00:00Z,99133
05537980,2022-05-25T18:30:00Z,99133
05543010,2022-05-25T18:45:00Z,99133
05553700,2022-05-25T18:00:00Z,99133
05554300,2018-12-20T05:45:00Z,99133
05557500,2013-07-03T05:45:00Z,99133
05567500,2022-05-25T18:00:00Z,99133
05575550,2014-12-12T05:45:00Z,99133
05576100,2022-05-25T18:30:00Z,99133
05576195,2022-05-25T18:30:00Z,99133
05579610,2015-07-08T05:55:00Z,99133
05579620,2015-07-15T05:55:00Z,99133
05579624,2015-06-26T05:45:00Z,99133
05579630,2015-07-15T05:45:00Z,99133
05586300,2022-05-25T18:30:00Z,99133
05595000,2022-05-25T18:00:00Z,99133
05599490,2022-05-25T18:00:00Z,99133
03339000,2021-10-05T15:45:00Z,00095
03343805,2016-10-15T05:45:00Z,00095
03346500,2021-10-19T12:00:00Z,00095
03381495,2019-07-19T16:45:00Z,00095
03612600,2022-05-25T19:00:00Z,00095
05420400,2022-05-25T18:15:00Z,00095
05446500,2020-12-18T17:45:00Z,00095
05447500,2021-10-20T17:45:00Z,00095
05536995,2022-05-25T18:00:00Z,00095
05537980,2022-05-25T18:30:00Z,00095
05538010,2017-05-25T15:45:00Z,00095
05539670,2022-05-25T18:00:00Z,00095
05543010,2022-05-25T18:45:00Z,00095
05549500,2022-05-25T18:00:00Z,00095
05550001,2022-05-25T18:30:00Z,00095
05551580,2016-11-15T05:45:00Z,00095
05553700,2022-04-12T18:45:00Z,00095
05553700,2022-05-25T18:00:00Z,00095
05558300,2022-05-25T18:45:00Z,00095
05567500,2022-05-25T18:00:00Z,00095
05576100,2022-05-25T18:30:00Z,00095
05576195,2022-05-25T18:30:00Z,00095
05578100,2022-05-25T18:30:00Z,00095
05578250,2020-08-08T12:30:00Z,00095
05579620,2015-07-16T05:45:00Z,00095
05579630,2015-07-15T05:45:00Z,00095
05586300,2022-05-25T18:30:00Z,00095
05595000,2021-10-06T20:30:00Z,00095
05599490,2021-10-06T18:00:00Z,00095
03275500,2022-05-25T18:15:00Z,99133
03276000,2018-03-09T13:15:00Z,99133
03340900,2018-02-15T16:00:00Z,99133
03353415,2022-05-25T18:15:00Z,99133
03353420,2022-05-25T18:45:00Z,99133
03374100,2022-05-25T18:45:00Z,99133
03378500,2022-05-25T17:45:00Z,99133
04182867,2015-12-10T04:45:00Z,99133
05515500,2022-05-25T19:00:00Z,99133
05517500,2022-05-25T19:00:00Z,99133
05518000,2022-05-25T18:15:00Z,99133
05524500,2022-05-25T18:45:00Z,99133
03353200,2022-05-25T18:45:00Z,99137
03275500,2022-05-25T18:00:00Z,00095
03276000,2018-03-09T13:15:00Z,00095
03303280,2021-11-09T17:15:00Z,00095
03340900,2018-03-12T15:15:00Z,00095
03353200,2022-05-25T18:45:00Z,00095
03353415,2022-05-25T18:15:00Z,00095
03353420,2022-05-25T18:45:00Z,00095
03374100,2022-05-25T18:45:00Z,00095
03378500,2022-05-25T17:45:00Z,00095
04093176,2020-08-14T19:00:00Z,00095
04182867,2015-11-15T04:45:00Z,00095
04183038,2022-05-25T18:15:00Z,00095
05515500,2022-05-25T18:45:00Z,00095
05517500,2022-05-25T19:00:00Z,00095
05518000,2020-08-17T15:45:00Z,00095
05518000,2022-05-25T18:15:00Z,00095
05524500,2022-05-25T18:45:00Z,00095
05412500,2022-05-25T18:15:00Z,99133
05418110,2014-11-13T05:45:00Z,99133
05418400,2013-06-16T04:45:00Z,99133
05418400,2014-11-12T20:45:00Z,99133
05418720,2018-10-23T14:30:00Z,99133
05420500,2021-08-02T18:45:00Z,99133
05420500,2021-11-29T01:15:00Z,99133
05451210,2011-11-29T05:45:00Z,99133
05455100,2015-10-31T04:45:00Z,99133
05464420,2022-05-25T18:15:00Z,99133
05464475,2022-05-25T18:30:00Z,99133
05464500,2012-10-01T05:00:00Z,99133
05465500,2022-05-25T19:00:00Z,99133
05480603,2014-10-03T04:45:00Z,99133
05480986,2013-08-21T04:45:00Z,99133
05481000,2019-11-05T04:15:00Z,99133
05482000,2022-05-25T18:15:00Z,99133
05482300,2022-05-25T18:15:00Z,99133
05482500,2022-05-25T18:30:00Z,99133
05483600,2015-11-10T15:00:00Z,99133
05484000,2022-05-25T18:45:00Z,99133
05484500,2022-05-25T19:00:00Z,99133
06603750,2017-10-04T20:00:00Z,99133
06604440,2015-10-01T05:00:00Z,99133
06808500,2022-05-25T19:00:00Z,99133
06817000,2022-05-25T18:30:00Z,99133
